ticker,original_name,yf_company_name,market_cap
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,Artius II Acquisition Inc. Class A Ordinary Shares,248854880
AACBR,Artius II Acquisition Inc. - Rights,Artius II Acquisition Inc. Rights,N/A
AACBU,Artius II Acquisition Inc. - Units,Artius II Acquisition Inc. Units,253260512
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",ATA Creativity Global,30211798
AADR,AdvisorShares Dorsey Wright ADR ETF,AdvisorShares Dorsey Wright ADR ETF,N/A
AAL,"American Airlines Group, Inc. - Common Stock",American Airlines Group Inc.,6358759936
AAME,Atlantic American Corporation - Common Stock,Atlantic American Corporation,26931038
AAOI,"Applied Optoelectronics, Inc. - Common Stock","Applied Optoelectronics, Inc.",566817728
AAON,"AAON, Inc. - Common Stock","AAON, Inc.",6843689472
AAPB,GraniteShares 2x Long AAPL Daily ETF,GraniteShares 2x Long AAPL Daily ETF,N/A
AAPD,Direxion Daily AAPL Bear 1X Shares,Direxion Daily AAPL Bear 1X Shares,N/A
AAPG,Ascentage Pharma Group International - American Depository Shares,N/A,1654168448
AAPL,Apple Inc. - Common Stock,Apple Inc.,2976629129216
AAPU,Direxion Daily AAPL Bull 2X Shares,Direxion Daily AAPL Bull 2X Shares,N/A
AARD,"Aardvark Therapeutics, Inc. - Common Stock","Aardvark Therapeutics, Inc. Common Stock",154908720
AAVM,Alpha Architect Global Factor Equity ETF,Alpha Architect Global Factor Equity ETF,N/A
AAXJ,iShares MSCI All Country Asia ex Japan ETF,iShares MSCI All Country Asia ex Japan ETF,N/A
ABAT,American Battery Technology Company - Common Stock,American Battery Technology Company,83650568
ABCL,AbCellera Biologics Inc. - Common Shares,AbCellera Biologics Inc.,715171200
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,N/A
ABEO,Abeona Therapeutics Inc. - Common Stock,Abeona Therapeutics Inc.,223255472
ABIG,Argent Large Cap ETF,Argent Large Cap ETF,N/A
ABL,"Abacus Global Management, Inc. - Class A Common Stock","Abacus Global Management, Inc.",760296064
ABLLL,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028","Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",N/A
ABLLW,"Abacus Global Management, Inc. - Warrant","Abacus Global Management, Inc.",N/A
ABLV,Able View Global Inc. - Class B Ordinary Shares,Able View Global Inc.,40499716
ABLVW,Able View Global Inc. - Warrant,Able View Global Inc.,N/A
ABNB,"Airbnb, Inc. - Class A Common Stock","Airbnb, Inc.",71168286720
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock","Acumen Pharmaceuticals, Inc.",67236472
ABP,"Abpro Holdings, Inc - Common Stock",Abpro Corporation,14342560
ABPWW,"Abpro Holdings, Inc - Warrant",Abpro Holdings Inc,N/A
ABSI,Absci Corporation - Common Stock,Absci Corporation,384606048
ABTS,Abits Group Inc - Ordinary Shares,Abits Group Inc.,4187609
ABUS,Arbutus Biopharma Corporation - Common Stock,Arbutus Biopharma Corporation,601247232
ABVC,"ABVC BioPharma, Inc. - Common Stock","ABVC BioPharma, Inc.",21654944
ABVE,Above Food Ingredients Inc. - Common Stock,Above Food Ingredients Inc.,13822500
ABVEW,Above Food Ingredients Inc. - Warrant,Above Food Ingredients Inc.,N/A
ABVX,Abivax SA - American Depositary Shares,ABIVAX Société Anonyme,378736480
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,ACADIA Pharmaceuticals Inc.,2431783424
ACB,Aurora Cannabis Inc. - Common Shares,Aurora Cannabis Inc.,234903952
ACDC,ProFrac Holding Corp. - Class A Common Stock,ProFrac Holding Corp.,759243712
ACET,"Adicet Bio, Inc. - Common Stock","Adicet Bio, Inc.",44402276
ACGL,Arch Capital Group Ltd. - Common Stock,Arch Capital Group Ltd.,34614714368
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Arch Capital Group Ltd.,N/A
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Arch Capital Group Ltd.,11725920256
ACHC,"Acadia Healthcare Company, Inc. - Common Stock","Acadia Healthcare Company, Inc.",2429675008
ACHV,"Achieve Life Sciences, Inc.  - Common Shares","Achieve Life Sciences, Inc.",75613520
ACIC,American Coastal Insurance Corporation - Common Stock,American Coastal Insurance Corporation,535258176
ACIU,AC Immune SA - Common Stock,AC Immune SA,156639600
ACIW,"ACI Worldwide, Inc. - Common Stock","ACI Worldwide, Inc.",5464832000
ACLS,"Axcelis Technologies, Inc. - Common Stock","Axcelis Technologies, Inc.",1514106624
ACLX,"Arcellx, Inc. - Common Stock","Arcellx, Inc.",3249937664
ACMR,"ACM Research, Inc. - Class A Common Stock","ACM Research, Inc.",1213984128
ACNB,ACNB Corporation - Common Stock,ACNB Corporation,405366816
ACNT,Ascent Industries Co. - Common Stock,Ascent Industries Co.,125578112
ACOG,Alpha Cognition Inc. - Common Stock,Alpha Cognition Inc. Common Stock,70086624
ACON,"Aclarion, Inc. - Common Stock","Aclarion, Inc.",4848060
ACONW,"Aclarion, Inc. - Warrant","Aclarion, Inc.",N/A
ACRS,"Aclaris Therapeutics, Inc. - Common Stock","Aclaris Therapeutics, Inc.",124370200
ACRV,"Acrivon Therapeutics, Inc. - Common Stock","Acrivon Therapeutics, Inc.",50789432
ACT,"Enact Holdings, Inc. - Common Stock","Enact Holdings, Inc.",5354699776
ACTG,Acacia Research Corporation - Common Stock,Acacia Research Corporation,279610272
ACTU,"Actuate Therapeutics, Inc. - Common stock","Actuate Therapeutics, Inc. Common stock",149612048
ACWI,iShares MSCI ACWI ETF,iShares MSCI ACWI ETF,N/A
ACWX,iShares MSCI ACWI ex U.S. ETF,iShares MSCI ACWI ex U.S. ETF,N/A
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock","Acurx Pharmaceuticals, Inc.",7809657
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Adagene Inc.,72077688
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Adaptimmune Therapeutics plc,57182672
ADBE,Adobe Inc. - Common Stock,Adobe Inc.,150222716928
ADBG,Leverage Shares 2X Long ADBE Daily ETF,Leverage Shares 2X Long ADBE Daily ETF,N/A
ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares","Color Star Technology Co., Ltd.",497855
ADEA,Adeia Inc.  - Common Stock,Adeia Inc.,1276397696
ADGM,"Adagio Medical Holdings, Inc - Common Stock","Adagio Medical Holdings, Inc.",11850817
ADI,"Analog Devices, Inc. - Common Stock","Analog Devices, Inc.",88859058176
ADIL,"Adial Pharmaceuticals, Inc - Common Stock","Adial Pharmaceuticals, Inc.",4667959
ADMA,ADMA Biologics Inc - Common Stock,"ADMA Biologics, Inc.",4609731072
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock","Advent Technologies Holdings, Inc.",7487688
ADNWW,"Advent Technologies Holdings, Inc. - Warrant","Advent Technologies Holdings, Inc.",N/A
ADP,"Automatic Data Processing, Inc. - Common Stock","Automatic Data Processing, Inc.",121874145280
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Adaptive Biotechnologies Corporation,1179741056
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,ADS-TEC Energy PLC,656752064
ADSEW,ADS-TEC ENERGY PLC - Warrant,ADS-TEC Energy PLC,N/A
ADSK,"Autodesk, Inc. - Common Stock","Autodesk, Inc.",55049850880
ADTN,"ADTRAN Holdings, Inc. - Common Stock","ADTRAN Holdings, Inc.",609310400
ADTX,"Aditxt, Inc. - Common Stock","Aditxt, Inc.",3478838
ADUR,Aduro Clean Technologies Inc. - Common Stock,Aduro Clean Technologies Inc.,118224320
ADUS,Addus HomeCare Corporation - Common Stock,Addus HomeCare Corporation,1832736896
ADV,Advantage Solutions Inc.  - Class A Common Stock,Advantage Solutions Inc.,385690816
ADVB,Advanced Biomed Inc. - Common Stock,Advanced Biomed Inc. Common Stock,37004400
ADVM,"Adverum Biotechnologies, Inc. - Common Stock","Adverum Biotechnologies, Inc.",71352576
ADVWW,Advantage Solutions Inc.  - Warrant,Advantage Solutions Inc.,N/A
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Addex Therapeutics Ltd,8583405
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Antelope Enterprise Holdings Limited,2357333
AEHR,Aehr Test Systems - Common Stock,"Aehr Test Systems, Inc.",253491568
AEI,Alset Inc. - Common Stock,Alset Inc.,8920868
AEIS,"Advanced Energy Industries, Inc. - Common Stock","Advanced Energy Industries, Inc.",3287558912
AEMD,"Aethlon Medical, Inc. - Common Stock","Aethlon Medical, Inc.",7103976
AENT,Alliance Entertainment Holding Corporation - common stock,Alliance Entertainment Holding Corporation,150265328
AENTW,Alliance Entertainment Holding Corporation - Warrants,Alliance Entertainment Holding Corporation,N/A
AEP,"American Electric Power Company, Inc. - Common Stock","American Electric Power Company, Inc.",55871164416
